Pelvis Sex,Clavicle maximum length,Clavicle sagittal diameter at midshaft,Clavicle vertical diameter at midshaft,Scapula height,Scapula breadth,Humerus maximum length,Humerus epicondylar breadth,Humerus vertical diameter of head,Humerus maximum diameter at midshaft,Humerus minimum diameter at midshaft,Radius maximum length,Radius sagittal diameter at midshaft,Radius transverse diameter at midshaft,Ulna maximum length,Ulna dorso-volar diameter,Ulna transverse diameter,Ulna physiological length,Ulna minimum circumference,Femur maximum heigth,Femur bicondylar length,Femur epicondylar breadth,Femur maximum head diameter,Femur sagittal subtrochanteric diameter,Femur transverse subtrochanteric diameter,Femur sagittal midshaft diameter,Femur transverse midshaft diameter,Femur midshaft circumference,Tibia length,Tibia maximum proximal epiphyseal breadth,Tibia maximum distal epiphyseal breadth,Tibia maximum diameter at the nutrient foramen,Tibia transverse diameter at the nutrient foramen,Tibia circumference at the nutrient foramen,Fibula maximum length,Fibula maximum diameter at midshaft,Calcaneus maximum length,Calcaneus middle breadth
0,123,13.5,8.9,,,297,53.1,39.7,16,19.6,,,,,16.7,16.9,,34,410,408,69.7,39,24.6,28.9,24.3,25.7,80,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,424,422,70.8,39.4,31.6,23.4,27.4,27.5,85,353,66.3,40.5,22.9,31.6,84,344,15.4,76.6,35.6
0,,12,7.6,,,275,47.5,37.1,17.5,16.7,200,9.6,12.2,,,,191,29,385,379,61.4,36.8,22.3,27.6,25.6,23.9,78,313,56.6,41.8,30.5,20.4,79,,,64,36.9
0,,,,,,,,,,,,,,,15.8,19.3,,,418,414,75.1,40.6,28,23.7,25.2,24.5,78,,66,,30.2,21.6,81,,,77,41.7
0,,,,,,274,,39.4,18.4,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,127,15.2,9.9,,,324,50.8,41.5,19.2,21.7,,,,,16.3,21.7,,39,,,,42.3,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,458,457,,48.1,26.4,33.5,29.1,27.7,88,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,41.8,29.3,21.4,,,,,,40.8,28.8,21,76,,,,36.9
1,,,,,,,57.5,,,,,,,,15.8,22.5,,40,,,,,,,,,,,,,35,26.3,94.92,,,,
0,139,11.5,8.74,132,92.4,,,,,,,,,233,19.2,19.2,207,36,,,,42,29.9,26.7,,,,,,,,,,,,,
1,162,13.55,12,,,,,,,,,,,,,,,,481,476,87.4,,31.4,31,33.8,28.5,99,395,81.84,52.8,56.6,38.8,152,,,87,44.1
1,142,13.3,11.6,157,102.6,319,68,45.8,24,23,243,16.8,13,264,23,23,237,39,458,453,84,49.9,36,28,30.2,30,94,363,75,49,37.3,26.2,100,,,85.2,40
