Pelvis Sex,Clavicle maximum length,Clavicle sagittal diameter at midshaft,Clavicle vertical diameter at midshaft,Scapula height,Scapula breadth,Humerus maximum length,Humerus epicondylar breadth,Humerus vertical diameter of head,Humerus maximum diameter at midshaft,Humerus minimum diameter at midshaft,Radius maximum length,Radius sagittal diameter at midshaft,Radius transverse diameter at midshaft,Ulna maximum length,Ulna dorso-volar diameter,Ulna transverse diameter,Ulna physiological length,Ulna minimum circumference,Femur maximum heigth,Femur bicondylar length,Femur epicondylar breadth,Femur maximum head diameter,Femur sagittal subtrochanteric diameter,Femur transverse subtrochanteric diameter,Femur sagittal midshaft diameter,Femur transverse midshaft diameter,Femur midshaft circumference,Tibia length,Tibia maximum proximal epiphyseal breadth,Tibia maximum distal epiphyseal breadth,Tibia maximum diameter at the nutrient foramen,Tibia transverse diameter at the nutrient foramen,Tibia circumference at the nutrient foramen,Fibula maximum length,Fibula maximum diameter at midshaft,Calcaneus maximum length,Calcaneus middle breadth
0,120,12.5,8.3,,,302,53.9,39.5,17.1,20.1,,,,236,17.3,15.1,216,31,413,410,69.2,37.8,24,28.9,25.8,25.5,81,,,,,,,,,,
0,,,,,,304,,40,18.7,16.5,,,,,,,,,421,419,,39,31.3,23.1,27.5,26.6,84,350,66.2,39.6,23.2,31.7,84,338,14,75.2,37.3
0,124,11.9,7.3,,,276,48.6,36.5,17.2,16.8,202,10.1,12.3,219,10.6,13,195,30,386,381,,37.4,22,26.5,25.7,23.1,77,314,61.5,42.9,29.9,23.2,80,,,68.6,36.4
0,,,,,,,,,,,,,,,9.5,17,,,417,408,,,28.3,23.9,26.4,24.2,78,328,66.2,41.9,30.3,22.7,82,325,13.5,76.8,41.6
0,,,,,,,51.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,138,12.5,8.9,,,334,55.1,40,19.7,22.3,237,15,12.2,,16,20.8,,42,,,,41.2,30.1,28.3,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,455,453,,47.9,25.5,35,28.2,27.4,88,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,443,440,,41.2,,,23.2,23.5,73,332,,41,27.8,21.2,77,,,,34.7
1,,,,,,338,61.4,48,22.5,22.7,,,,,18.7,23.2,,,,,,49,,,,,,,,,34.5,25.3,,,,,
0,,,,,,294,56.5,41.2,21.6,19.6,213,14.8,10.8,233,18.3,20.1,209,34,,,,42.5,29.5,24.8,,,,,,,,,,,,,36.9
1,,,,,,,,,,,,,,,,,,,470,460,84.3,49.4,36.6,30.2,31,33.4,102,388,,49.3,40.83,27.6,,,,87.54,45.32
1,145,12.5,10,,,321,66.4,45.7,24,23,245,18.2,13.3,264,21,23.5,239,39,452,448,83.5,51.9,38.6,27.7,30,29,92,364,75,49,36.3,26.6,100,,,85.6,40
1,,,,,,,62.14,,,,227,12,16.2,246,14.98,13.9,221,38,428,425,80.5,45.4,33.4,26.4,30,30,93,,,51.8,26.1,32.2,91,330,15.4,81.6,41.7
0,,,,,,308,60.5,42.2,21.5,20.4,224,15,11,252,21.7,23.6,227,38,434,427,77.8,46.1,31,25.3,27.3,25.6,85,,73.6,,30,23.5,88,351,15.64,,
0,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,
1,,,,,,,55.9,,,,249,15.8,11.6,272,18.3,19.8,242,35,490,487,76.4,47.7,37.7,26.3,27.6,31.8,93,396,,45.5,34.7,25.6,92,,,86.5,41.5
1,,14.9,11.4,,,325,63.3,46.4,21.7,21.5,238,12.1,15.5,261,16.2,14.1,231,38,451,449,,49.2,29.2,32.5,32,28.5,93,378,74.6,51,32.8,26.1,97,,,84,41.1
0,146,13.4,9.3,,,322,54.7,44,21,18.4,237,15.6,11.4,,15,19,,34,437,431,74.4,44.7,29,26,30,25,89,351,65.9,42.7,22.8,31.6,84,346,13.5,72.6,38.8
1,131,13.1,10,,,,61,48,,,242,16.5,12.7,256,21,24.65,231,40,438,434,80,48,34,27.5,29.8,25.5,86,363,74,48,36.8,26.7,97,358,14.5,73.6,42.4
1,,,,,,,,45.3,,,264,15.7,12.9,,17,20,,40,475,471,,48.7,36,27,28,28.8,89,,,,36,27.5,98,,,80,44
1,,,,,,,,,,,,,,244,20.4,23,219,37,,,72.2,,35.3,27.4,,,,,,45,34.4,23.2,91,,,81,44.5
0,,,,,,,,,,,,,,,,,,,,,,42.3,27.9,22.8,,,,,,,31.8,23.2,85,,,,
